Serious_Assault,Robbery,Theft,Sexual_Violence,Kidnapping,Drug Seizures(Cannabis-type)
15968.00,2713.00,1355.00,5492.00,110.00,8617.00
24365.00,2332.00,374497.00,7177.00,228.00,270.53
585.00,454.00,10090.00,362.00,46.00,113.37
65775.00,31167.00,1069965.00,5115.00,198.00,90097.18
144.00,117.00,959.00,33.00,36.00,150.55
584.00,11885.00,88541.00,2538.00,292.00,14791.46
4789.00,8037.00,259095.00,4789.00,352.00,5906.00
242910.00,100080.00,1381425.00,41751.00,3818.00,67359.00
1398.00,238.00,20539.00,427.00,1.00,1350.90
69363.00,18954.00,223088.00,7177.00,1170.00,41657.60
18089.00,66783.00,162426.00,11692.00,69.00,334918.53
137058.00,38849.00,1156422.00,34815.00,4625.00,10159.80
26028.00,70079.00,101580.00,9789.00,197.00,467138.70
3343.00,9972.00,18562.00,4681.00,35.00,12952.99
72964.00,9599.00,562833.00,24957.00,482.00,19200.77
230.00,814.00,9146.00,466.00,50.00,7208.60
228.00,471.00,9558.00,131.00,4.00,48.25
7304.00,8114.00,106923.00,3221.00,246.00,3620.08
600.00,2469.00,1870.00,695.00,4.00,1200.00
798.00,864.00,12413.00,476.00,0.00,2409.00
1510.00,4271.00,67849.00,453.00,78.00,24940.86
1642.00,469.00,21331.00,705.00,91.00,229.90
657.00,604.00,14534.00,262.00,4.00,202.17
591881.00,1657131.00,2304980.00,56254.00,524.00,350314.30
147.00,118.00,503.00,23.00,0.00,3336.41
2811.00,1558.00,40947.00,653.00,102.00,33821.79
69896.00,27123.00,169917.00,34227.00,26766.00,81429.20
49091.00,26022.00,49571.00,3360.00,517.00,52609.91
830.00,2460.00,40528.00,451.00,31.00,403.89
54866.00,223617.00,381059.00,36498.00,1219.00,400310.33
305.00,2503.00,2503.00,128.00,2.00,7031.13
3563.00,3455.00,6143.00,5800.00,297.00,4987.61
178.00,1088.00,17040.00,226.00,0.00,2089.00
1284.00,1829.00,20763.00,313.00,12.00,3858.41
12472.00,841.00,80335.00,588.00,3.00,2170.29
181.00,229.00,5963.00,102.00,35.00,13.68
2361.00,9389.00,179.00,52.00,0.00,52186.00
398.00,1233.00,11321.00,376.00,3.00,10.82
272.00,3163.00,96154.00,1532.00,311.00,275.51
2050.00,9469.00,208907.00,2118.00,74.00,34107.55
429.00,17957.00,115593.00,2109.00,37.00,1894.52
10969.00,117004.00,171247.00,12835.00,300.00,24569.30
125.00,184.00,5096.00,113.00,2.00,78190.11
214.00,1979.00,42381.00,4867.00,30.00,1074181.65
7695.00,78581.00,32785.00,9462.00,10.00,192129.70
752.00,660.00,4491.00,158.00,0.00,462.86
23223.00,9104.00,659649.00,16854.00,320.00,12352.49
369.00,397.00,2854.00,123.00,7.00,676.23
1849.00,3823.00,49114.00,10380.00,402.00,603334.50
6522.00,76747.00,30839.00,13520.00,796.00,14713.15
122545.00,119531.00,86564.00,30833.00,195.00,239421.05
320.00,125.00,16729.00,648.00,88.00,4600.00
3745.00,3797.00,8539.00,4374.00,15.00,747.23
12405.00,10692.00,63539.00,5513.00,241.00,151670.90
2053.00,11393.00,3088.00,1463.00,20.00,5103.26
3735.00,288.00,3669.00,201.00,172.00,126173.80
4619.00,179.00,3125.00,360.00,3.00,198.83
13677.00,1062.00,33042.00,3789.00,1486.00,39485.50
3142.00,6984.00,874.00,6507.00,21.00,5047.51
5732.00,6850.00,43515.00,19548.00,938.00,8293.00
4458.00,4458.00,16290.00,703.00,859.00,278.42
339.00,2673.00,87129.00,114.00,273.00,242566.00
